CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,target,Age,Unemployed,Years_Employed
M,0,1,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,0,32,0,11.726027397260276
F,0,1,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,64,1,0.0
M,1,1,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,44,1,0.0
F,0,1,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,41,0,12.304109589041095
M,0,1,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,28,0,2.6356164383561644
F,0,1,2,243000.0,State servant,Higher education,Married,House / apartment,1,0,0,0,Core staff,4.0,0,27,0,9.3013698630137
M,1,1,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,1.0,0,25,0,4.035616438356165
F,0,1,1,234000.0,State servant,Secondary / secondary special,Civil marriage,With parents,1,0,0,0,Cooking staff,3.0,0,40,0,15.975342465753425
F,0,1,0,180000.0,State servant,Higher education,Married,House / apartment,1,1,0,0,Core staff,2.0,0,44,0,5.843835616438356
F,0,0,1,135000.0,Working,Higher education,Married,House / apartment,1,1,1,0,Sales staff,3.0,0,31,0,5.183561643835616
F,1,1,0,50850.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2.0,0,59,1,0.0
F,0,0,0,202500.0,Working,Secondary / secondary special,Married,Office apartment,1,0,0,0,Cleaning staff,2.0,0,54,0,5.750684931506849
F,0,0,1,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Unknown,3.0,0,49,1,0.0
F,0,0,0,67500.0,Working,Secondary / secondary special,Married,With parents,1,1,1,0,Medicine staff,2.0,0,42,0,23.81095890410959
M,0,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,3.0,0,37,0,1.7534246575342465
F,0,0,0,180000.0,Working,Secondary / secondary special,Widow,Municipal apartment,1,0,0,0,Core staff,1.0,0,54,0,8.98082191780822
F,0,1,0,72000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,60,1,0.0
F,0,1,0,90000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Sales staff,2.0,0,24,0,2.1726027397260275
F,0,1,1,90000.0,Working,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,3.0,0,31,0,9.884931506849314
F,0,1,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2.0,0,62,1,0.0
F,0,1,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,3.0,0,55,0,22.008219178082197
F,1,1,0,225000.0,Working,Higher education,Married,House / apartment,1,0,1,0,Core staff,2.0,0,47,0,8.638356164383561
F,0,1,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,3.0,0,23,0,2.7534246575342465
F,0,1,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2.0,0,56,1,0.0
F,0,1,0,225000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Accountants,2.0,0,32,0,5.449315068493151
M,1,1,0,135000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Core staff,2.0,0,44,0,8.523287671232877
F,0,0,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Medicine staff,2.0,0,48,0,3.643835616438356
M,0,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,3.0,0,28,0,2.8
F,0,1,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3.0,0,41,0,6.257534246575342
F,1,0,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,1,1,1,0,Core staff,1.0,0,63,0,9.265753424657534
M,0,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,3.0,0,44,0,4.684931506849315
M,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,29,0,1.4657534246575343
M,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Drivers,2.0,1,47,0,1.515068493150685
F,0,1,0,144000.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Unknown,1.0,0,36,0,13.542465753424658
F,1,1,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3.0,0,40,0,2.1534246575342464
M,1,1,2,247500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Drivers,4.0,0,35,0,2.6356164383561644
M,0,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2.0,0,51,0,8.038356164383561
F,0,1,0,90000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Unknown,2.0,0,37,0,16.726027397260275
M,1,0,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,4.0,0,40,0,10.547945205479452
F,0,0,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,57,1,0.0
M,1,0,0,207000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,Laborers,2.0,0,31,0,1.789041095890411
F,1,0,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2.0,0,40,0,12.304109589041095
F,0,1,2,153000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Accountants,4.0,0,36,0,3.627397260273973
F,0,1,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Accountants,1.0,0,28,0,2.841095890410959
M,1,1,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,0,44,0,3.786301369863014
F,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,1,High skill tech staff,2.0,0,48,0,5.46027397260274
F,1,0,0,121500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1.0,0,63,1,0.0
F,0,1,0,193500.0,Working,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,2.0,0,57,0,19.945205479452056
F,1,1,1,121500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,3.0,0,43,0,8.956164383561644
F,1,0,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Medicine staff,2.0,0,53,0,32.71232876712329
F,0,0,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Cleaning staff,1.0,0,51,0,4.016438356164383
F,0,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,56,0,11.471232876712328
F,0,1,1,112500.0,Working,Higher education,Married,House / apartment,1,0,1,0,Sales staff,3.0,0,37,0,6.046575342465753
M,1,1,1,198000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3.0,0,42,0,9.06027397260274
F,0,1,0,72000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,60,1,0.0
F,0,1,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2.0,0,39,0,20.126027397260277
F,0,1,0,157500.0,Working,Higher education,Married,House / apartment,1,0,0,1,Medicine staff,2.0,0,42,0,8.134246575342466
M,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,53,0,8.736986301369862
M,0,1,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Sales staff,1.0,0,27,0,6.583561643835616
M,0,0,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,1,0,1,0,Laborers,2.0,0,40,0,6.693150684931507
M,1,1,0,405000.0,Working,Higher education,Married,House / apartment,1,1,0,1,Unknown,2.0,0,32,0,5.013698630136986
F,0,0,1,135000.0,Working,Higher education,Married,House / apartment,1,1,1,0,Sales staff,3.0,0,31,0,5.183561643835616
M,1,1,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,3.0,0,48,0,4.131506849315069
F,0,1,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,3.0,0,26,0,3.9726027397260273
F,0,1,0,99000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Sales staff,1.0,0,27,0,3.1890410958904107
F,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2.0,0,54,0,0.6054794520547945
M,1,1,1,292500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,3.0,0,32,0,4.2465753424657535
F,0,1,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Low-skill Laborers,2.0,0,42,0,15.857534246575344
F,1,0,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,2.0,0,44,0,3.9726027397260273
M,1,1,0,292500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,2.0,0,32,0,2.095890410958904
F,0,0,0,135000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,1.0,0,56,0,3.5205479452054798
F,0,1,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1.0,0,47,0,5.846575342465753
F,0,1,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,3.0,0,44,0,11.895890410958904
F,0,0,0,166500.0,Working,Secondary / secondary special,Single / not married,Office apartment,1,0,0,0,Core staff,1.0,0,57,0,38.704109589041096
F,1,1,0,103500.0,State servant,Higher education,Separated,House / apartment,1,1,1,0,Core staff,1.0,0,46,0,22.115068493150684
F,0,1,0,180000.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2.0,0,59,1,0.0
M,1,1,1,180000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,0,38,0,4.931506849315069
F,0,0,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,4.0,0,36,0,7.4520547945205475
M,1,0,2,202500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,4.0,0,32,0,1.991780821917808
M,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,0,51,0,17.194520547945206
M,1,0,2,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,0,Managers,4.0,0,30,0,1.8
F,0,1,0,279000.0,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Sales staff,2.0,0,45,0,10.471232876712328
F,0,1,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2.0,0,52,0,24.28219178082192
M,1,1,1,216000.0,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Laborers,3.0,0,46,0,3.991780821917808
F,0,1,0,202500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Unknown,2.0,0,31,0,1.632876712328767
F,0,1,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Unknown,1.0,0,49,0,22.947945205479453
F,0,1,0,202500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,1.0,0,57,1,0.0
M,1,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2.0,0,41,0,8.610958904109589
F,1,1,0,243000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1.0,0,40,0,5.635616438356164
F,0,0,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,43,0,3.83013698630137
F,0,1,0,157500.0,State servant,Higher education,Married,House / apartment,1,0,1,0,Managers,2.0,0,41,0,10.01095890410959
M,1,0,0,162000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,1,Security staff,2.0,0,52,0,11.202739726027398
F,0,1,2,112500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Unknown,4.0,0,53,0,30.12054794520548
M,1,1,0,135000.0,Working,Academic degree,Married,House / apartment,1,0,1,0,Unknown,2.0,0,61,0,0.5342465753424658
F,0,0,0,157500.0,Working,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2.0,0,53,0,4.684931506849315
M,1,0,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Unknown,5.0,0,27,0,9.52054794520548
F,1,1,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2.0,0,43,0,5.764383561643836
F,0,1,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,Unknown,1.0,0,60,1,0.0
F,1,1,3,243000.0,Commercial associate,Higher education,Single / not married,Rented apartment,1,0,0,0,Managers,4.0,0,63,0,3.0465753424657533
F,1,0,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,2.0,0,31,0,1.2602739726027397
M,0,0,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3.0,0,48,0,4.791780821917809
M,1,0,0,270000.0,State servant,Higher education,Single / not married,With parents,1,0,0,0,Accountants,1.0,0,36,0,9.523287671232875
M,0,1,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cooking staff,3.0,0,32,0,0.6356164383561644
F,0,1,0,112500.0,Working,Higher education,Married,House / apartment,1,0,1,0,Sales staff,2.0,0,35,0,5.638356164383562
F,0,1,0,157500.0,State servant,Higher education,Married,House / apartment,1,0,1,0,Managers,2.0,0,41,0,10.01095890410959
F,0,1,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Accountants,2.0,0,65,0,5.882191780821918
M,1,1,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3.0,0,37,0,8.479452054794521
M,1,0,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,48,0,6.8054794520547945
F,1,1,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2.0,0,59,1,0.0
F,1,0,2,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Sales staff,4.0,0,29,0,1.0986301369863014
M,1,0,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Laborers,2.0,0,49,0,3.328767123287671
F,0,1,0,121500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,High skill tech staff,2.0,0,50,0,22.36438356164384
F,0,1,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Sales staff,1.0,0,40,0,1.7643835616438357
F,1,1,1,360000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Unknown,3.0,0,31,0,6.780821917808219
M,1,1,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,0,36,0,11.194520547945206
F,0,1,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2.0,0,66,1,0.0
F,0,1,1,90000.0,Working,Higher education,Married,House / apartment,1,0,1,0,High skill tech staff,3.0,0,31,0,9.884931506849314
F,0,1,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,Unknown,2.0,0,63,1,0.0
F,0,0,0,94500.0,Pensioner,Higher education,Married,House / apartment,1,0,1,0,Unknown,2.0,0,58,1,0.0
M,0,1,1,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,0,Drivers,3.0,0,30,0,0.8767123287671232
F,0,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,0,37,0,15.945205479452056
M,0,0,0,279000.0,State servant,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,1.0,0,30,0,8.695890410958905
F,0,0,2,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Secretaries,4.0,0,30,0,5.183561643835616
F,0,0,0,270000.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Laborers,1.0,0,42,0,8.104109589041096
F,0,0,1,112500.0,Commercial associate,Higher education,Separated,House / apartment,1,1,0,0,Private service staff,2.0,0,40,0,7.761643835616439
F,0,1,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,4.0,0,41,0,11.53972602739726
M,0,1,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1.0,0,54,0,2.136986301369863
F,0,1,0,292500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Unknown,1.0,0,61,1,0.0
F,0,1,0,90000.0,Working,Lower secondary,Married,House / apartment,1,0,1,0,Medicine staff,2.0,0,30,0,8.26849315068493
F,1,1,1,54000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,3.0,0,46,0,0.8821917808219178
F,0,0,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,Waiters/barmen staff,2.0,0,31,0,9.131506849315068
F,1,0,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2.0,0,42,0,15.854794520547944
F,0,1,0,382500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Secretaries,2.0,0,47,0,4.684931506849315
F,0,1,0,166500.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,Unknown,2.0,0,61,1,0.0
M,1,1,0,495000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Cooking staff,1.0,0,39,0,14.72054794520548
F,0,1,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,60,1,0.0
M,0,1,0,157500.0,Commercial associate,Incomplete higher,Separated,House / apartment,1,0,0,0,Security staff,1.0,0,36,0,5.46027397260274
F,0,1,3,140400.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,5.0,0,33,0,8.893150684931507
M,0,0,0,58500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Cleaning staff,1.0,0,37,0,6.517808219178082
F,0,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Unknown,2.0,0,56,1,0.0
M,0,1,1,81000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3.0,0,33,0,3.008219178082192
M,1,0,1,315000.0,State servant,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Managers,3.0,0,42,0,17.958904109589042
M,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2.0,0,43,0,6.616438356164384
F,1,1,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2.0,0,46,0,8.36986301369863
M,0,0,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,Laborers,2.0,0,23,0,1.7835616438356163
M,1,0,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,57,0,7.457534246575342
M,0,1,1,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Core staff,2.0,0,34,0,1.378082191780822
F,0,0,0,117000.0,Working,Higher education,Married,House / apartment,1,1,1,0,Unknown,2.0,0,52,0,5.8712328767123285
F,0,0,2,225000.0,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Medicine staff,3.0,0,35,0,16.306849315068494
F,0,1,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Unknown,2.0,0,65,1,0.0
F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Unknown,2.0,0,58,1,0.0
F,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2.0,0,48,0,5.936986301369863
F,0,1,0,72000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Unknown,1.0,0,62,1,0.0
F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,2.0,0,44,0,1.5945205479452054
